estimulo,respuestas,count,rank,porcentaje
Argentina - Buenos_Aires - Brasil,Brasilia,87,1,90.625
Argentina - Buenos_Aires - Brasil,Río_de_Janeiro,6,2,6.25
Argentina - Buenos_Aires - Brasil,San_Pablo,2,3,2.083333333333333
Argentina - Buenos_Aires - Brasil,Brasil,1,4,1.0416666666666665
Brasil - samba - Cuba,salsa,57,1,60.0
Brasil - samba - Cuba,rumba,11,2,11.578947368421053
Brasil - samba - Cuba,son,10,3,10.526315789473683
Brasil - samba - Cuba,bachata,4,4,4.2105263157894735
Brasil - samba - Cuba,cumbia,3,5,3.1578947368421053
Brasil - samba - Cuba,arroz,1,6,1.0526315789473684
Brasil - samba - Cuba,baile_típico_de_cuba,1,6,1.0526315789473684
Brasil - samba - Cuba,chachachá,1,6,1.0526315789473684
Brasil - samba - Cuba,conga,1,6,1.0526315789473684
Brasil - samba - Cuba,danzón,1,6,1.0526315789473684
Brasil - samba - Cuba,flamenco,1,6,1.0526315789473684
Brasil - samba - Cuba,merengue,1,6,1.0526315789473684
Brasil - samba - Cuba,plena,1,6,1.0526315789473684
Brasil - samba - Cuba,trova,1,6,1.0526315789473684
Brasil - samba - Cuba,zumba,1,6,1.0526315789473684
China - Asia - Rusia,Eurasia,38,1,37.254901960784316
China - Asia - Rusia,Europa,35,2,34.31372549019608
China - Asia - Rusia,Asia,25,3,24.509803921568626
China - Asia - Rusia,Europa_del_Este,1,4,0.9803921568627451
China - Asia - Rusia,Moscú,1,4,0.9803921568627451
China - Asia - Rusia,Siberia,1,4,0.9803921568627451
China - Asia - Rusia,vodka,1,4,0.9803921568627451
Francia - París - Estados_Unidos,Washington,92,1,90.19607843137256
Francia - París - Estados_Unidos,Nueva_York,7,2,6.862745098039216
Francia - París - Estados_Unidos,DC,1,3,0.9803921568627451
Francia - París - Estados_Unidos,Francia,1,3,0.9803921568627451
Francia - París - Estados_Unidos,los_angeles,1,3,0.9803921568627451
París - Francia - Roma,Italia,77,1,93.90243902439023
París - Francia - Roma,Coliseo,1,2,1.2195121951219512
París - Francia - Roma,España,1,2,1.2195121951219512
París - Francia - Roma,Grecia,1,2,1.2195121951219512
París - Francia - Roma,Torre_de_Pisa,1,2,1.2195121951219512
París - Francia - Roma,pizza,1,2,1.2195121951219512
Uruguay - fútbol - Estados_Unidos,béisbol,40,1,48.19277108433735
Uruguay - fútbol - Estados_Unidos,fútbol_americano,14,2,16.867469879518072
Uruguay - fútbol - Estados_Unidos,básquetbol,12,3,14.457831325301203
Uruguay - fútbol - Estados_Unidos,rugby,4,4,4.819277108433735
Uruguay - fútbol - Estados_Unidos,soccer,4,4,4.819277108433735
Uruguay - fútbol - Estados_Unidos,basket,2,5,2.4096385542168677
Uruguay - fútbol - Estados_Unidos,fútbol,2,5,2.4096385542168677
Uruguay - fútbol - Estados_Unidos,comida_chatarra,1,6,1.2048192771084338
Uruguay - fútbol - Estados_Unidos,guerra,1,6,1.2048192771084338
Uruguay - fútbol - Estados_Unidos,hockey,1,6,1.2048192771084338
Uruguay - fútbol - Estados_Unidos,nfl,1,6,1.2048192771084338
Uruguay - fútbol - Estados_Unidos,obesidad,1,6,1.2048192771084338
abogado - corte - doctor,hospital,58,1,65.1685393258427
abogado - corte - doctor,consultorio,16,2,17.97752808988764
abogado - corte - doctor,clínica,4,3,4.49438202247191
abogado - corte - doctor,block,2,4,2.247191011235955
abogado - corte - doctor,ateneo,1,5,1.1235955056179776
abogado - corte - doctor,cirugía,1,5,1.1235955056179776
abogado - corte - doctor,confección,1,5,1.1235955056179776
abogado - corte - doctor,estetoscopio,1,5,1.1235955056179776
abogado - corte - doctor,lectura,1,5,1.1235955056179776
abogado - corte - doctor,norma,1,5,1.1235955056179776
abogado - corte - doctor,paciente,1,5,1.1235955056179776
abogado - corte - doctor,sanatorio,1,5,1.1235955056179776
abogado - corte - doctor,ética,1,5,1.1235955056179776
amigos - felicidad - jefe,trabajo,15,1,15.957446808510639
amigos - felicidad - jefe,autoridad,7,2,7.446808510638298
amigos - felicidad - jefe,responsabilidad,6,3,6.382978723404255
amigos - felicidad - jefe,respeto,5,4,5.319148936170213
amigos - felicidad - jefe,tristeza,5,4,5.319148936170213
amigos - felicidad - jefe,infelicidad,4,5,4.25531914893617
amigos - felicidad - jefe,obediencia,4,5,4.25531914893617
amigos - felicidad - jefe,enojo,3,6,3.1914893617021276
amigos - felicidad - jefe,obligación,3,6,3.1914893617021276
amigos - felicidad - jefe,seriedad,3,6,3.1914893617021276
amigos - felicidad - jefe,angustia,2,7,2.127659574468085
amigos - felicidad - jefe,estrés,2,7,2.127659574468085
amigos - felicidad - jefe,órdenes,2,7,2.127659574468085
amigos - felicidad - jefe,aburrimiento,1,8,1.0638297872340425
amigos - felicidad - jefe,aguantar,1,8,1.0638297872340425
amigos - felicidad - jefe,confianza,1,8,1.0638297872340425
amigos - felicidad - jefe,control,1,8,1.0638297872340425
amigos - felicidad - jefe,depresión,1,8,1.0638297872340425
amigos - felicidad - jefe,disciplina,1,8,1.0638297872340425
amigos - felicidad - jefe,distancia,1,8,1.0638297872340425
amigos - felicidad - jefe,eficiencia,1,8,1.0638297872340425
amigos - felicidad - jefe,empleados,1,8,1.0638297872340425
amigos - felicidad - jefe,exigencia,1,8,1.0638297872340425
amigos - felicidad - jefe,formalidad,1,8,1.0638297872340425
amigos - felicidad - jefe,frustración,1,8,1.0638297872340425
amigos - felicidad - jefe,incertidumbre,1,8,1.0638297872340425
amigos - felicidad - jefe,indiferencia,1,8,1.0638297872340425
amigos - felicidad - jefe,inequidad,1,8,1.0638297872340425
amigos - felicidad - jefe,ira,1,8,1.0638297872340425
amigos - felicidad - jefe,liderazgo,1,8,1.0638297872340425
amigos - felicidad - jefe,maldad,1,8,1.0638297872340425
amigos - felicidad - jefe,mando,1,8,1.0638297872340425
amigos - felicidad - jefe,miedo,1,8,1.0638297872340425
amigos - felicidad - jefe,molestia,1,8,1.0638297872340425
amigos - felicidad - jefe,muerte,1,8,1.0638297872340425
amigos - felicidad - jefe,orden,1,8,1.0638297872340425
amigos - felicidad - jefe,organización,1,8,1.0638297872340425
amigos - felicidad - jefe,plata,1,8,1.0638297872340425
amigos - felicidad - jefe,productividad,1,8,1.0638297872340425
amigos - felicidad - jefe,prosperidad,1,8,1.0638297872340425
amigos - felicidad - jefe,severidad,1,8,1.0638297872340425
amigos - felicidad - jefe,superior,1,8,1.0638297872340425
amigos - felicidad - jefe,temor,1,8,1.0638297872340425
amigos - felicidad - jefe,tensión,1,8,1.0638297872340425
amigos - felicidad - jefe,verticalidad,1,8,1.0638297872340425
amigos - felicidad - jefe,éxito,1,8,1.0638297872340425
ave - ala - delfín,aleta,79,1,85.86956521739131
ave - ala - delfín,aletas,7,2,7.608695652173914
ave - ala - delfín,cola,3,3,3.260869565217391
ave - ala - delfín,espiráculo,1,4,1.0869565217391304
ave - ala - delfín,hocico,1,4,1.0869565217391304
ave - ala - delfín,pico,1,4,1.0869565217391304
ave - paloma - insecto,mosca,25,1,28.40909090909091
ave - paloma - insecto,hormiga,20,2,22.727272727272727
ave - paloma - insecto,mosquito,18,3,20.454545454545457
ave - paloma - insecto,cucaracha,9,4,10.227272727272728
ave - paloma - insecto,grillo,6,5,6.8181818181818175
ave - paloma - insecto,abeja,2,6,2.272727272727273
ave - paloma - insecto,escarabajo,2,6,2.272727272727273
ave - paloma - insecto,mariposa,2,6,2.272727272727273
ave - paloma - insecto,araña,1,7,1.1363636363636365
ave - paloma - insecto,gusano,1,7,1.1363636363636365
ave - paloma - insecto,libélula,1,7,1.1363636363636365
ave - paloma - insecto,polilla,1,7,1.1363636363636365
ave - pingüino - mamífero,ballena,20,1,19.801980198019802
ave - pingüino - mamífero,vaca,17,2,16.831683168316832
ave - pingüino - mamífero,perro,12,3,11.881188118811881
ave - pingüino - mamífero,delfín,9,4,8.91089108910891
ave - pingüino - mamífero,león,6,5,5.9405940594059405
ave - pingüino - mamífero,gato,5,6,4.9504950495049505
ave - pingüino - mamífero,caballo,4,7,3.9603960396039604
ave - pingüino - mamífero,elefante,4,7,3.9603960396039604
ave - pingüino - mamífero,ornitorrinco,4,7,3.9603960396039604
ave - pingüino - mamífero,oso,4,7,3.9603960396039604
ave - pingüino - mamífero,humano,3,8,2.9702970297029703
ave - pingüino - mamífero,foca,2,9,1.9801980198019802
ave - pingüino - mamífero,oso_polar,2,9,1.9801980198019802
ave - pingüino - mamífero,ardilla,1,10,0.9900990099009901
ave - pingüino - mamífero,cabra,1,10,0.9900990099009901
ave - pingüino - mamífero,canguro,1,10,0.9900990099009901
ave - pingüino - mamífero,chancho,1,10,0.9900990099009901
ave - pingüino - mamífero,halcón,1,10,0.9900990099009901
ave - pingüino - mamífero,hombre,1,10,0.9900990099009901
ave - pingüino - mamífero,mamut,1,10,0.9900990099009901
ave - pingüino - mamífero,orca,1,10,0.9900990099009901
ave - pingüino - mamífero,ratón,1,10,0.9900990099009901
avión - piloto - tren,maquinista,34,1,40.476190476190474
avión - piloto - tren,conductor,31,2,36.904761904761905
avión - piloto - tren,chofer,10,3,11.904761904761903
avión - piloto - tren,locomotorista,2,4,2.380952380952381
avión - piloto - tren,vía,2,4,2.380952380952381
avión - piloto - tren,ferroviario,1,5,1.1904761904761905
avión - piloto - tren,motorista,1,5,1.1904761904761905
avión - piloto - tren,motorman,1,5,1.1904761904761905
avión - piloto - tren,piloto,1,5,1.1904761904761905
avión - piloto - tren,riel,1,5,1.1904761904761905
bailarín - bailar - albañil,construir,69,1,68.31683168316832
bailarín - bailar - albañil,revocar,6,2,5.9405940594059405
bailarín - bailar - albañil,construcción,5,3,4.9504950495049505
bailarín - bailar - albañil,trabajar,4,4,3.9603960396039604
bailarín - bailar - albañil,albañilear,3,5,2.9702970297029703
bailarín - bailar - albañil,arreglar,2,6,1.9801980198019802
bailarín - bailar - albañil,edificar,2,6,1.9801980198019802
bailarín - bailar - albañil,obrero,2,6,1.9801980198019802
bailarín - bailar - albañil,albañil,1,7,0.9900990099009901
bailarín - bailar - albañil,albañilería,1,7,0.9900990099009901
bailarín - bailar - albañil,blandir,1,7,0.9900990099009901
bailarín - bailar - albañil,cemento,1,7,0.9900990099009901
bailarín - bailar - albañil,chupar_vino,1,7,0.9900990099009901
bailarín - bailar - albañil,obra,1,7,0.9900990099009901
bailarín - bailar - albañil,pala,1,7,0.9900990099009901
bailarín - bailar - albañil,revestir,1,7,0.9900990099009901
bebida - leche - comida,pan,40,1,38.095238095238095
bebida - leche - comida,carne,15,2,14.285714285714285
bebida - leche - comida,queso,10,3,9.523809523809524
bebida - leche - comida,arroz,3,4,2.857142857142857
bebida - leche - comida,fideos,3,4,2.857142857142857
bebida - leche - comida,galletas,3,4,2.857142857142857
bebida - leche - comida,milanesa,3,4,2.857142857142857
bebida - leche - comida,pizza,3,4,2.857142857142857
bebida - leche - comida,hamburguesa,2,5,1.9047619047619049
bebida - leche - comida,papa,2,5,1.9047619047619049
bebida - leche - comida,pasta,2,5,1.9047619047619049
bebida - leche - comida,sopa,2,5,1.9047619047619049
bebida - leche - comida,aceitunas,1,6,0.9523809523809524
bebida - leche - comida,acompaña,1,6,0.9523809523809524
bebida - leche - comida,agua,1,6,0.9523809523809524
bebida - leche - comida,alfajor,1,6,0.9523809523809524
bebida - leche - comida,alimento,1,6,0.9523809523809524
bebida - leche - comida,café,1,6,0.9523809523809524
bebida - leche - comida,estofado,1,6,0.9523809523809524
bebida - leche - comida,fruta,1,6,0.9523809523809524
bebida - leche - comida,gelatina,1,6,0.9523809523809524
bebida - leche - comida,kale,1,6,0.9523809523809524
bebida - leche - comida,manteca,1,6,0.9523809523809524
bebida - leche - comida,pollo,1,6,0.9523809523809524
bebida - leche - comida,ración,1,6,0.9523809523809524
bebida - leche - comida,sandwich,1,6,0.9523809523809524
bebida - leche - comida,sanguche,1,6,0.9523809523809524
bebida - leche - comida,taco,1,6,0.9523809523809524
bebida - leche - comida,tallarines,1,6,0.9523809523809524
bebé - cigüeña - regalo,Papá_Noel,32,1,35.95505617977528
bebé - cigüeña - regalo,moño,6,2,6.741573033707865
bebé - cigüeña - regalo,Reyes_Magos,5,3,5.617977528089887
bebé - cigüeña - regalo,cumpleaños,4,4,4.49438202247191
bebé - cigüeña - regalo,invitado,4,4,4.49438202247191
bebé - cigüeña - regalo,persona,4,4,4.49438202247191
bebé - cigüeña - regalo,amigo,3,5,3.3707865168539324
bebé - cigüeña - regalo,envoltorio,3,5,3.3707865168539324
bebé - cigüeña - regalo,paquete,3,5,3.3707865168539324
bebé - cigüeña - regalo,Navidad,2,6,2.247191011235955
bebé - cigüeña - regalo,bebé,2,6,2.247191011235955
bebé - cigüeña - regalo,padres,2,6,2.247191011235955
bebé - cigüeña - regalo,papel,2,6,2.247191011235955
bebé - cigüeña - regalo,Noel,1,7,1.1235955056179776
bebé - cigüeña - regalo,arbolito,1,7,1.1235955056179776
bebé - cigüeña - regalo,avión,1,7,1.1235955056179776
bebé - cigüeña - regalo,bolsa,1,7,1.1235955056179776
bebé - cigüeña - regalo,bombón,1,7,1.1235955056179776
bebé - cigüeña - regalo,caja,1,7,1.1235955056179776
bebé - cigüeña - regalo,cumpleañero,1,7,1.1235955056179776
bebé - cigüeña - regalo,dac,1,7,1.1235955056179776
bebé - cigüeña - regalo,envío,1,7,1.1235955056179776
bebé - cigüeña - regalo,pavadita,1,7,1.1235955056179776
bebé - cigüeña - regalo,perro,1,7,1.1235955056179776
bebé - cigüeña - regalo,presente,1,7,1.1235955056179776
bebé - cigüeña - regalo,reno,1,7,1.1235955056179776
bebé - cigüeña - regalo,shopping,1,7,1.1235955056179776
bebé - cigüeña - regalo,simpatía,1,7,1.1235955056179776
bebé - cigüeña - regalo,trae,1,7,1.1235955056179776
bebé - cigüeña - regalo,vendedor,1,7,1.1235955056179776
blanco - negro - rojo,azul,52,1,53.608247422680414
blanco - negro - rojo,verde,36,2,37.11340206185567
blanco - negro - rojo,amarillo,3,3,3.0927835051546393
blanco - negro - rojo,blanco,2,4,2.0618556701030926
blanco - negro - rojo,cian,2,4,2.0618556701030926
blanco - negro - rojo,rosado,1,5,1.0309278350515463
blanco - negro - rojo,sangre,1,5,1.0309278350515463
caballero - espada - vaquero,pistola,32,1,32.6530612244898
caballero - espada - vaquero,revólver,28,2,28.57142857142857
caballero - espada - vaquero,lazo,9,3,9.183673469387756
caballero - espada - vaquero,rifle,5,4,5.1020408163265305
caballero - espada - vaquero,caballo,4,5,4.081632653061225
caballero - espada - vaquero,sombrero,3,6,3.061224489795918
caballero - espada - vaquero,arma,2,7,2.0408163265306123
caballero - espada - vaquero,botas,2,7,2.0408163265306123
caballero - espada - vaquero,escopeta,2,7,2.0408163265306123
caballero - espada - vaquero,espuelas,2,7,2.0408163265306123
caballero - espada - vaquero,látigo,2,7,2.0408163265306123
caballero - espada - vaquero,cuerda,1,8,1.0204081632653061
caballero - espada - vaquero,daga,1,8,1.0204081632653061
caballero - espada - vaquero,gorro,1,8,1.0204081632653061
caballero - espada - vaquero,jinete,1,8,1.0204081632653061
caballero - espada - vaquero,montar,1,8,1.0204081632653061
caballero - espada - vaquero,pistolas,1,8,1.0204081632653061
caballero - espada - vaquero,potro,1,8,1.0204081632653061
caballo - jinete - moto,motociclista,44,1,53.01204819277109
caballo - jinete - moto,conductor,13,2,15.66265060240964
caballo - jinete - moto,motoquero,13,2,15.66265060240964
caballo - jinete - moto,piloto,8,3,9.63855421686747
caballo - jinete - moto,delivery,1,4,1.2048192771084338
caballo - jinete - moto,hombre,1,4,1.2048192771084338
caballo - jinete - moto,humano,1,4,1.2048192771084338
caballo - jinete - moto,motonetista,1,4,1.2048192771084338
caballo - jinete - moto,raider,1,4,1.2048192771084338
campera - buzo - buzo,remera,33,1,35.869565217391305
campera - buzo - buzo,campera,22,2,23.91304347826087
campera - buzo - buzo,camiseta,19,3,20.652173913043477
campera - buzo - buzo,camisa,10,4,10.869565217391305
campera - buzo - buzo,abrigo,1,5,1.0869565217391304
campera - buzo - buzo,agua,1,5,1.0869565217391304
campera - buzo - buzo,bufanda,1,5,1.0869565217391304
campera - buzo - buzo,canguro,1,5,1.0869565217391304
campera - buzo - buzo,hilo,1,5,1.0869565217391304
campera - buzo - buzo,hombre,1,5,1.0869565217391304
campera - buzo - buzo,polera,1,5,1.0869565217391304
campera - buzo - buzo,pullover,1,5,1.0869565217391304
cerebro - pensamiento - corazón,sentimiento,48,1,56.470588235294116
cerebro - pensamiento - corazón,latido,10,2,11.76470588235294
cerebro - pensamiento - corazón,sangre,6,3,7.0588235294117645
cerebro - pensamiento - corazón,bombeo,4,4,4.705882352941177
cerebro - pensamiento - corazón,amor,3,5,3.5294117647058822
cerebro - pensamiento - corazón,sentimientos,3,5,3.5294117647058822
cerebro - pensamiento - corazón,emoción,2,6,2.3529411764705883
cerebro - pensamiento - corazón,sentir,2,6,2.3529411764705883
cerebro - pensamiento - corazón,bomba,1,7,1.1764705882352942
cerebro - pensamiento - corazón,bombear,1,7,1.1764705882352942
cerebro - pensamiento - corazón,circulación,1,7,1.1764705882352942
cerebro - pensamiento - corazón,latidos,1,7,1.1764705882352942
cerebro - pensamiento - corazón,latir,1,7,1.1764705882352942
cerebro - pensamiento - corazón,pulso,1,7,1.1764705882352942
cerebro - pensamiento - corazón,vida,1,7,1.1764705882352942
cirujano - bisturí - locutor,micrófono,89,1,95.6989247311828
cirujano - bisturí - locutor,cincel,2,2,2.1505376344086025
cirujano - bisturí - locutor,voz,2,2,2.1505376344086025
ciudad - Montevideo - país,Uruguay,88,1,88.0
ciudad - Montevideo - país,capital,3,2,3.0
ciudad - Montevideo - país,interior,2,3,2.0
ciudad - Montevideo - país,uruguayo,2,3,2.0
ciudad - Montevideo - país,Canadá,1,4,1.0
ciudad - Montevideo - país,Marruecos,1,4,1.0
ciudad - Montevideo - país,Portugal,1,4,1.0
ciudad - Montevideo - país,ciudad,1,4,1.0
ciudad - Montevideo - país,nación,1,4,1.0
cordón - zapato - cinturón,pantalón,77,1,83.69565217391305
cordón - zapato - cinturón,hebilla,11,2,11.956521739130435
cordón - zapato - cinturón,cintura,1,3,1.0869565217391304
cordón - zapato - cinturón,hebillas,1,3,1.0869565217391304
cordón - zapato - cinturón,jean,1,3,1.0869565217391304
cordón - zapato - cinturón,vaquero,1,3,1.0869565217391304
cristianismo - iglesia - judaísmo,sinagoga,73,1,76.04166666666666
cristianismo - iglesia - judaísmo,mezquita,11,2,11.458333333333332
cristianismo - iglesia - judaísmo,templo,8,3,8.333333333333332
cristianismo - iglesia - judaísmo,judío,2,4,2.083333333333333
cristianismo - iglesia - judaísmo,iglesia_judía,1,5,1.0416666666666665
cristianismo - iglesia - judaísmo,muro,1,5,1.0416666666666665
cuadro - pintor - estatua,escultor,93,1,94.89795918367348
cuadro - pintor - estatua,cuadro,1,2,1.0204081632653061
cuadro - pintor - estatua,escultora,1,2,1.0204081632653061
cuadro - pintor - estatua,leña,1,2,1.0204081632653061
cuadro - pintor - estatua,mármol,1,2,1.0204081632653061
cuadro - pintor - estatua,persona,1,2,1.0204081632653061
cubierto - tenedor - herramienta,martillo,56,1,60.215053763440864
cubierto - tenedor - herramienta,destornillador,17,2,18.27956989247312
cubierto - tenedor - herramienta,pinza,6,3,6.451612903225806
