estimulo,respuestas,count,rank
Argentina - Buenos_Aires - Brasil,Brasilia,87,1
Argentina - Buenos_Aires - Brasil,Río_de_Janeiro,6,2
Argentina - Buenos_Aires - Brasil,San_Pablo,2,3
Argentina - Buenos_Aires - Brasil,Brasil,1,4
Brasil - samba - Cuba,salsa,57,1
Brasil - samba - Cuba,rumba,11,2
Brasil - samba - Cuba,son,10,3
Brasil - samba - Cuba,bachata,4,4
Brasil - samba - Cuba,cumbia,3,5
Brasil - samba - Cuba,arroz,1,6
Brasil - samba - Cuba,baile_típico_de_cuba,1,6
Brasil - samba - Cuba,chachachá,1,6
Brasil - samba - Cuba,conga,1,6
Brasil - samba - Cuba,danzón,1,6
Brasil - samba - Cuba,flamenco,1,6
Brasil - samba - Cuba,merengue,1,6
Brasil - samba - Cuba,plena,1,6
Brasil - samba - Cuba,trova,1,6
Brasil - samba - Cuba,zumba,1,6
China - Asia - Rusia,Eurasia,38,1
China - Asia - Rusia,Europa,35,2
China - Asia - Rusia,Asia,25,3
China - Asia - Rusia,Europa_del_Este,1,4
China - Asia - Rusia,Moscú,1,4
China - Asia - Rusia,Siberia,1,4
China - Asia - Rusia,vodka,1,4
Francia - París - Estados_Unidos,Washington,92,1
Francia - París - Estados_Unidos,Nueva_York,7,2
Francia - París - Estados_Unidos,DC,1,3
Francia - París - Estados_Unidos,Francia,1,3
Francia - París - Estados_Unidos,los_angeles,1,3
París - Francia - Roma,Italia,77,1
París - Francia - Roma,Coliseo,1,2
París - Francia - Roma,España,1,2
París - Francia - Roma,Grecia,1,2
París - Francia - Roma,Torre_de_Pisa,1,2
París - Francia - Roma,pizza,1,2
Uruguay - fútbol - Estados_Unidos,béisbol,40,1
Uruguay - fútbol - Estados_Unidos,fútbol_americano,14,2
Uruguay - fútbol - Estados_Unidos,básquetbol,12,3
Uruguay - fútbol - Estados_Unidos,rugby,4,4
Uruguay - fútbol - Estados_Unidos,soccer,4,4
Uruguay - fútbol - Estados_Unidos,basket,2,5
Uruguay - fútbol - Estados_Unidos,fútbol,2,5
Uruguay - fútbol - Estados_Unidos,comida_chatarra,1,6
Uruguay - fútbol - Estados_Unidos,guerra,1,6
Uruguay - fútbol - Estados_Unidos,hockey,1,6
Uruguay - fútbol - Estados_Unidos,nfl,1,6
Uruguay - fútbol - Estados_Unidos,obesidad,1,6
abogado - corte - doctor,hospital,58,1
abogado - corte - doctor,consultorio,16,2
abogado - corte - doctor,clínica,4,3
abogado - corte - doctor,block,2,4
abogado - corte - doctor,ateneo,1,5
abogado - corte - doctor,cirugía,1,5
abogado - corte - doctor,confección,1,5
abogado - corte - doctor,estetoscopio,1,5
abogado - corte - doctor,lectura,1,5
abogado - corte - doctor,norma,1,5
abogado - corte - doctor,paciente,1,5
abogado - corte - doctor,sanatorio,1,5
abogado - corte - doctor,ética,1,5
amigos - felicidad - jefe,trabajo,15,1
amigos - felicidad - jefe,autoridad,7,2
amigos - felicidad - jefe,responsabilidad,6,3
amigos - felicidad - jefe,respeto,5,4
amigos - felicidad - jefe,tristeza,5,4
amigos - felicidad - jefe,infelicidad,4,5
amigos - felicidad - jefe,obediencia,4,5
amigos - felicidad - jefe,enojo,3,6
amigos - felicidad - jefe,obligación,3,6
amigos - felicidad - jefe,seriedad,3,6
amigos - felicidad - jefe,angustia,2,7
amigos - felicidad - jefe,estrés,2,7
amigos - felicidad - jefe,órdenes,2,7
amigos - felicidad - jefe,aburrimiento,1,8
amigos - felicidad - jefe,aguantar,1,8
amigos - felicidad - jefe,confianza,1,8
amigos - felicidad - jefe,control,1,8
amigos - felicidad - jefe,depresión,1,8
amigos - felicidad - jefe,disciplina,1,8
amigos - felicidad - jefe,distancia,1,8
amigos - felicidad - jefe,eficiencia,1,8
amigos - felicidad - jefe,empleados,1,8
amigos - felicidad - jefe,exigencia,1,8
amigos - felicidad - jefe,formalidad,1,8
amigos - felicidad - jefe,frustración,1,8
amigos - felicidad - jefe,incertidumbre,1,8
amigos - felicidad - jefe,indiferencia,1,8
amigos - felicidad - jefe,inequidad,1,8
amigos - felicidad - jefe,ira,1,8
amigos - felicidad - jefe,liderazgo,1,8
amigos - felicidad - jefe,maldad,1,8
amigos - felicidad - jefe,mando,1,8
amigos - felicidad - jefe,miedo,1,8
amigos - felicidad - jefe,molestia,1,8
amigos - felicidad - jefe,muerte,1,8
amigos - felicidad - jefe,orden,1,8
amigos - felicidad - jefe,organización,1,8
amigos - felicidad - jefe,plata,1,8
amigos - felicidad - jefe,productividad,1,8
amigos - felicidad - jefe,prosperidad,1,8
amigos - felicidad - jefe,severidad,1,8
amigos - felicidad - jefe,superior,1,8
amigos - felicidad - jefe,temor,1,8
amigos - felicidad - jefe,tensión,1,8
amigos - felicidad - jefe,verticalidad,1,8
amigos - felicidad - jefe,éxito,1,8
ave - ala - delfín,aleta,79,1
ave - ala - delfín,aletas,7,2
ave - ala - delfín,cola,3,3
ave - ala - delfín,espiráculo,1,4
ave - ala - delfín,hocico,1,4
ave - ala - delfín,pico,1,4
ave - paloma - insecto,mosca,25,1
ave - paloma - insecto,hormiga,20,2
ave - paloma - insecto,mosquito,18,3
ave - paloma - insecto,cucaracha,9,4
ave - paloma - insecto,grillo,6,5
ave - paloma - insecto,abeja,2,6
ave - paloma - insecto,escarabajo,2,6
ave - paloma - insecto,mariposa,2,6
ave - paloma - insecto,araña,1,7
ave - paloma - insecto,gusano,1,7
ave - paloma - insecto,libélula,1,7
ave - paloma - insecto,polilla,1,7
ave - pingüino - mamífero,ballena,20,1
ave - pingüino - mamífero,vaca,17,2
ave - pingüino - mamífero,perro,12,3
ave - pingüino - mamífero,delfín,9,4
ave - pingüino - mamífero,león,6,5
ave - pingüino - mamífero,gato,5,6
ave - pingüino - mamífero,caballo,4,7
ave - pingüino - mamífero,elefante,4,7
ave - pingüino - mamífero,ornitorrinco,4,7
ave - pingüino - mamífero,oso,4,7
ave - pingüino - mamífero,humano,3,8
ave - pingüino - mamífero,foca,2,9
ave - pingüino - mamífero,oso_polar,2,9
ave - pingüino - mamífero,ardilla,1,10
ave - pingüino - mamífero,cabra,1,10
ave - pingüino - mamífero,canguro,1,10
ave - pingüino - mamífero,chancho,1,10
ave - pingüino - mamífero,halcón,1,10
ave - pingüino - mamífero,hombre,1,10
ave - pingüino - mamífero,mamut,1,10
ave - pingüino - mamífero,orca,1,10
ave - pingüino - mamífero,ratón,1,10
avión - piloto - tren,maquinista,34,1
avión - piloto - tren,conductor,31,2
avión - piloto - tren,chofer,10,3
avión - piloto - tren,locomotorista,2,4
avión - piloto - tren,vía,2,4
avión - piloto - tren,ferroviario,1,5
avión - piloto - tren,motorista,1,5
avión - piloto - tren,motorman,1,5
avión - piloto - tren,piloto,1,5
avión - piloto - tren,riel,1,5
bailarín - bailar - albañil,construir,69,1
bailarín - bailar - albañil,revocar,6,2
bailarín - bailar - albañil,construcción,5,3
bailarín - bailar - albañil,trabajar,4,4
bailarín - bailar - albañil,albañilear,3,5
bailarín - bailar - albañil,arreglar,2,6
bailarín - bailar - albañil,edificar,2,6
bailarín - bailar - albañil,obrero,2,6
bailarín - bailar - albañil,albañil,1,7
bailarín - bailar - albañil,albañilería,1,7
bailarín - bailar - albañil,blandir,1,7
bailarín - bailar - albañil,cemento,1,7
bailarín - bailar - albañil,chupar_vino,1,7
bailarín - bailar - albañil,obra,1,7
bailarín - bailar - albañil,pala,1,7
bailarín - bailar - albañil,revestir,1,7
bebida - leche - comida,pan,40,1
bebida - leche - comida,carne,15,2
bebida - leche - comida,queso,10,3
bebida - leche - comida,arroz,3,4
bebida - leche - comida,fideos,3,4
bebida - leche - comida,galletas,3,4
bebida - leche - comida,milanesa,3,4
bebida - leche - comida,pizza,3,4
bebida - leche - comida,hamburguesa,2,5
bebida - leche - comida,papa,2,5
bebida - leche - comida,pasta,2,5
bebida - leche - comida,sopa,2,5
bebida - leche - comida,aceitunas,1,6
bebida - leche - comida,acompaña,1,6
bebida - leche - comida,agua,1,6
bebida - leche - comida,alfajor,1,6
bebida - leche - comida,alimento,1,6
bebida - leche - comida,café,1,6
bebida - leche - comida,estofado,1,6
bebida - leche - comida,fruta,1,6
bebida - leche - comida,gelatina,1,6
bebida - leche - comida,kale,1,6
bebida - leche - comida,manteca,1,6
bebida - leche - comida,pollo,1,6
bebida - leche - comida,ración,1,6
bebida - leche - comida,sandwich,1,6
bebida - leche - comida,sanguche,1,6
bebida - leche - comida,taco,1,6
bebida - leche - comida,tallarines,1,6
bebé - cigüeña - regalo,Papá_Noel,32,1
bebé - cigüeña - regalo,moño,6,2
bebé - cigüeña - regalo,Reyes_Magos,5,3
bebé - cigüeña - regalo,cumpleaños,4,4
bebé - cigüeña - regalo,invitado,4,4
bebé - cigüeña - regalo,persona,4,4
bebé - cigüeña - regalo,amigo,3,5
bebé - cigüeña - regalo,envoltorio,3,5
bebé - cigüeña - regalo,paquete,3,5
bebé - cigüeña - regalo,Navidad,2,6
bebé - cigüeña - regalo,bebé,2,6
bebé - cigüeña - regalo,padres,2,6
bebé - cigüeña - regalo,papel,2,6
bebé - cigüeña - regalo,Noel,1,7
bebé - cigüeña - regalo,arbolito,1,7
bebé - cigüeña - regalo,avión,1,7
bebé - cigüeña - regalo,bolsa,1,7
bebé - cigüeña - regalo,bombón,1,7
bebé - cigüeña - regalo,caja,1,7
bebé - cigüeña - regalo,cumpleañero,1,7
bebé - cigüeña - regalo,dac,1,7
bebé - cigüeña - regalo,envío,1,7
bebé - cigüeña - regalo,pavadita,1,7
bebé - cigüeña - regalo,perro,1,7
bebé - cigüeña - regalo,presente,1,7
bebé - cigüeña - regalo,reno,1,7
bebé - cigüeña - regalo,shopping,1,7
bebé - cigüeña - regalo,simpatía,1,7
bebé - cigüeña - regalo,trae,1,7
bebé - cigüeña - regalo,vendedor,1,7
blanco - negro - rojo,azul,52,1
blanco - negro - rojo,verde,36,2
blanco - negro - rojo,amarillo,3,3
blanco - negro - rojo,blanco,2,4
blanco - negro - rojo,cian,2,4
blanco - negro - rojo,rosado,1,5
blanco - negro - rojo,sangre,1,5
caballero - espada - vaquero,pistola,32,1
caballero - espada - vaquero,revólver,28,2
caballero - espada - vaquero,lazo,9,3
caballero - espada - vaquero,rifle,5,4
caballero - espada - vaquero,caballo,4,5
caballero - espada - vaquero,sombrero,3,6
caballero - espada - vaquero,arma,2,7
caballero - espada - vaquero,botas,2,7
caballero - espada - vaquero,escopeta,2,7
caballero - espada - vaquero,espuelas,2,7
caballero - espada - vaquero,látigo,2,7
caballero - espada - vaquero,cuerda,1,8
caballero - espada - vaquero,daga,1,8
caballero - espada - vaquero,gorro,1,8
caballero - espada - vaquero,jinete,1,8
caballero - espada - vaquero,montar,1,8
caballero - espada - vaquero,pistolas,1,8
caballero - espada - vaquero,potro,1,8
caballo - jinete - moto,motociclista,44,1
caballo - jinete - moto,conductor,13,2
caballo - jinete - moto,motoquero,13,2
caballo - jinete - moto,piloto,8,3
caballo - jinete - moto,delivery,1,4
caballo - jinete - moto,hombre,1,4
caballo - jinete - moto,humano,1,4
caballo - jinete - moto,motonetista,1,4
caballo - jinete - moto,raider,1,4
campera - buzo - buzo,remera,33,1
campera - buzo - buzo,campera,22,2
campera - buzo - buzo,camiseta,19,3
campera - buzo - buzo,camisa,10,4
campera - buzo - buzo,abrigo,1,5
campera - buzo - buzo,agua,1,5
campera - buzo - buzo,bufanda,1,5
campera - buzo - buzo,canguro,1,5
campera - buzo - buzo,hilo,1,5
campera - buzo - buzo,hombre,1,5
campera - buzo - buzo,polera,1,5
campera - buzo - buzo,pullover,1,5
cerebro - pensamiento - corazón,sentimiento,48,1
cerebro - pensamiento - corazón,latido,10,2
cerebro - pensamiento - corazón,sangre,6,3
cerebro - pensamiento - corazón,bombeo,4,4
cerebro - pensamiento - corazón,amor,3,5
cerebro - pensamiento - corazón,sentimientos,3,5
cerebro - pensamiento - corazón,emoción,2,6
cerebro - pensamiento - corazón,sentir,2,6
cerebro - pensamiento - corazón,bomba,1,7
cerebro - pensamiento - corazón,bombear,1,7
cerebro - pensamiento - corazón,circulación,1,7
cerebro - pensamiento - corazón,latidos,1,7
cerebro - pensamiento - corazón,latir,1,7
cerebro - pensamiento - corazón,pulso,1,7
cerebro - pensamiento - corazón,vida,1,7
cirujano - bisturí - locutor,micrófono,89,1
cirujano - bisturí - locutor,cincel,2,2
cirujano - bisturí - locutor,voz,2,2
ciudad - Montevideo - país,Uruguay,88,1
ciudad - Montevideo - país,capital,3,2
ciudad - Montevideo - país,interior,2,3
ciudad - Montevideo - país,uruguayo,2,3
ciudad - Montevideo - país,Canadá,1,4
ciudad - Montevideo - país,Marruecos,1,4
ciudad - Montevideo - país,Portugal,1,4
ciudad - Montevideo - país,ciudad,1,4
ciudad - Montevideo - país,nación,1,4
cordón - zapato - cinturón,pantalón,77,1
cordón - zapato - cinturón,hebilla,11,2
cordón - zapato - cinturón,cintura,1,3
cordón - zapato - cinturón,hebillas,1,3
cordón - zapato - cinturón,jean,1,3
cordón - zapato - cinturón,vaquero,1,3
cristianismo - iglesia - judaísmo,sinagoga,73,1
cristianismo - iglesia - judaísmo,mezquita,11,2
cristianismo - iglesia - judaísmo,templo,8,3
cristianismo - iglesia - judaísmo,judío,2,4
cristianismo - iglesia - judaísmo,iglesia_judía,1,5
cristianismo - iglesia - judaísmo,muro,1,5
cuadro - pintor - estatua,escultor,93,1
cuadro - pintor - estatua,cuadro,1,2
cuadro - pintor - estatua,escultora,1,2
cuadro - pintor - estatua,leña,1,2
cuadro - pintor - estatua,mármol,1,2
cuadro - pintor - estatua,persona,1,2
cubierto - tenedor - herramienta,martillo,56,1
cubierto - tenedor - herramienta,destornillador,17,2
cubierto - tenedor - herramienta,pinza,6,3
cubierto - tenedor - herramienta,taladro,4,4
cubierto - tenedor - herramienta,llave,2,5
cubierto - tenedor - herramienta,tenaza,2,5
cubierto - tenedor - herramienta,alicate,1,6
cubierto - tenedor - herramienta,amoladora,1,6
cubierto - tenedor - herramienta,caladora,1,6
cubierto - tenedor - herramienta,francesa,1,6
cubierto - tenedor - herramienta,rastrillo,1,6
cubierto - tenedor - herramienta,sierra,1,6
cuerda - guitarra - tecla,piano,84,1
cuerda - guitarra - tecla,teclado,5,2
cuerda - guitarra - tecla,gamer,1,3
cuerda - guitarra - tecla,órgano,1,3
desayuno - cocina - cena,cocina,39,1
desayuno - cocina - cena,comedor,33,2
desayuno - cocina - cena,living,8,3
desayuno - cocina - cena,delivery,5,4
desayuno - cocina - cena,plato,2,5
desayuno - cocina - cena,restaurante,2,5
desayuno - cocina - cena,horno,1,6
desayuno - cocina - cena,mesa,1,6
desayuno - cocina - cena,no_comer,1,6
desayuno - cocina - cena,noche,1,6
desayuno - cocina - cena,parrilla,1,6
desayuno - cocina - cena,tasca,1,6
destornillador - tornillo - martillo,clavo,88,1
destornillador - tornillo - martillo,martillar,1,2
escuela - niño - universidad,joven,39,1
escuela - niño - universidad,adulto,30,2
escuela - niño - universidad,estudiante,9,3
escuela - niño - universidad,universitario,5,4
escuela - niño - universidad,adolescente,4,5
escuela - niño - universidad,alumno,1,6
escuela - niño - universidad,bachiller,1,6
escuela - niño - universidad,jóvenes,1,6
esmalte - uñas - lápiz_labial,labios,83,1
esmalte - uñas - lápiz_labial,boca,11,2
esmalte - uñas - lápiz_labial,labio,3,3
esmalte - uñas - lápiz_labial,hoja,1,4
estufa - gas - chimenea,leña,77,1
estufa - gas - chimenea,humo,13,2
estufa - gas - chimenea,fuego,9,3
estufa - gas - chimenea,madera,2,4
estufa - gas - chimenea,estufa,1,5
fruta - manzana - carne,vaca,14,1
fruta - manzana - carne,asado,12,2
fruta - manzana - carne,churrasco,11,3
fruta - manzana - carne,milanesa,6,4
fruta - manzana - carne,animal,5,5
fruta - manzana - carne,bife,4,6
fruta - manzana - carne,pollo,4,6
fruta - manzana - carne,costilla,3,7
fruta - manzana - carne,cuadril,3,7
fruta - manzana - carne,colita_de_cuadril,2,8
fruta - manzana - carne,nalga,2,8
fruta - manzana - carne,bola_de_lomo,1,9
fruta - manzana - carne,bondiola,1,9
fruta - manzana - carne,carré,1,9
fruta - manzana - carne,cerdo,1,9
fruta - manzana - carne,chivito,1,9
fruta - manzana - carne,chuleta,1,9
fruta - manzana - carne,costillitas,1,9
fruta - manzana - carne,filete,1,9
fruta - manzana - carne,hierro,1,9
fruta - manzana - carne,humano,1,9
fruta - manzana - carne,lomito,1,9
fruta - manzana - carne,lomo,1,9
fruta - manzana - carne,peceto,1,9
fruta - manzana - carne,pescado,1,9
fruta - manzana - carne,porcina,1,9
fruta - manzana - carne,proteína,1,9
fruta - manzana - carne,pulpa,1,9
fruta - manzana - carne,res,1,9
fruta - manzana - carne,vacuno,1,9
fruta - manzana - carne,vacío,1,9
fruta - árbol - verdura,planta,43,1
fruta - árbol - verdura,tierra,30,2
fruta - árbol - verdura,huerta,4,3
fruta - árbol - verdura,hortaliza,3,4
fruta - árbol - verdura,lechuga,3,4
fruta - árbol - verdura,zanahoria,3,4
fruta - árbol - verdura,arbusto,2,5
fruta - árbol - verdura,cultivo,2,5
fruta - árbol - verdura,raíz,2,5
fruta - árbol - verdura,bulbo,1,6
fruta - árbol - verdura,cultivos,1,6
fruta - árbol - verdura,ensalada,1,6
fruta - árbol - verdura,hojas,1,6
fruta - árbol - verdura,huerto,1,6
fruta - árbol - verdura,quinta,1,6
fruta - árbol - verdura,raíces,1,6
fruta - árbol - verdura,sembradío,1,6
fruta - árbol - verdura,suelo,1,6
fruta - árbol - verdura,tallo,1,6
fruta - árbol - verdura,tubérculo,1,6
fruta - árbol - verdura,verdura,1,6
fruta - árbol - verdura,árbol,1,6
frío - caliente - seco,mojado,55,1
frío - caliente - seco,húmedo,41,2
frío - caliente - seco,frío,2,3
fútbol - estadio - estudio,escuela,17,1
fútbol - estadio - estudio,universidad,11,2
fútbol - estadio - estudio,facultad,10,3
fútbol - estadio - estudio,biblioteca,9,4
fútbol - estadio - estudio,libro,7,5
fútbol - estadio - estudio,liceo,4,6
fútbol - estadio - estudio,aula,3,7
fútbol - estadio - estudio,escritorio,3,7
fútbol - estadio - estudio,fútbol,3,7
fútbol - estadio - estudio,salón,3,7
fútbol - estadio - estudio,colegio,2,8
fútbol - estadio - estudio,grabación,2,8
fútbol - estadio - estudio,música,2,8
fútbol - estadio - estudio,clase,1,9
fútbol - estadio - estudio,estudiar,1,9
fútbol - estadio - estudio,instituto,1,9
fútbol - estadio - estudio,libros,1,9
fútbol - estadio - estudio,local_escolar,1,9
fútbol - estadio - estudio,programa,1,9
fútbol - estadio - estudio,rock,1,9
fútbol - estadio - estudio,salón_de_clase,1,9
fútbol - estadio - estudio,tv,1,9
gallina - ave - vaca,mamífero,66,1
gallina - ave - vaca,bovino,8,2
gallina - ave - vaca,rumiante,7,3
gallina - ave - vaca,ganado,5,4
gallina - ave - vaca,vacuno,4,5
gallina - ave - vaca,ternero,1,6
garage - auto - puerto,barco,93,1
garage - auto - puerto,avión,1,2
garage - auto - puerto,buque,1,2
garage - auto - puerto,embarcación,1,2
garage - auto - puerto,hangar,1,2
garage - auto - puerto,marina,1,2
garage - auto - puerto,yate,1,2
gato - felino - perro,canino,64,1
gato - felino - perro,can,13,2
gato - felino - perro,cánido,9,3
gato - felino - perro,perruno,6,4
gato - felino - perro,lobo,2,5
gato - felino - perro,animal,1,6
gato - felino - perro,camino,1,6
gato - felino - perro,mamífero,1,6
hamburguesa - Estados_Unidos - tallarines,Italia,89,1
hamburguesa - Estados_Unidos - tallarines,China,8,2
juicio - juzgado - recital,estadio,20,1
juicio - juzgado - recital,escenario,19,2
juicio - juzgado - recital,teatro,19,2
juicio - juzgado - recital,músico,5,3
juicio - juzgado - recital,recitado,5,3
juicio - juzgado - recital,auditorio,4,4
juicio - juzgado - recital,banda,4,4
juicio - juzgado - recital,concierto,3,5
juicio - juzgado - recital,arena,2,6
juicio - juzgado - recital,cantante,2,6
juicio - juzgado - recital,sala,2,6
juicio - juzgado - recital,artista,1,7
juicio - juzgado - recital,audiencia,1,7
juicio - juzgado - recital,cantantes,1,7
juicio - juzgado - recital,espectáculo,1,7
juicio - juzgado - recital,estrado,1,7
juicio - juzgado - recital,festival,1,7
juicio - juzgado - recital,fiesta,1,7
