estimulo,respuestas,count,rank
juicio - juzgado - recital,pogo,1,7
juicio - juzgado - recital,público,1,7
juicio - juzgado - recital,toque,1,7
lento - tortuga - rápido,liebre,60,1
lento - tortuga - rápido,conejo,8,2
lento - tortuga - rápido,chita,7,3
lento - tortuga - rápido,guepardo,5,4
lento - tortuga - rápido,leopardo,5,4
lento - tortuga - rápido,gacela,3,5
lento - tortuga - rápido,jaguar,3,5
lento - tortuga - rápido,tigre,2,6
lento - tortuga - rápido,avión,1,7
lento - tortuga - rápido,león,1,7
lento - tortuga - rápido,libre,1,7
lento - tortuga - rápido,lince,1,7
lento - tortuga - rápido,nutria,1,7
lento - tortuga - rápido,pantera,1,7
lento - tortuga - rápido,perro,1,7
lento - tortuga - rápido,puma,1,7
lento - tortuga - rápido,tren,1,7
lento - tortuga - rápido,ñandú,1,7
libro - papel - mesa,madera,75,1
libro - papel - mesa,mantel,9,2
libro - papel - mesa,pata,3,3
libro - papel - mesa,patas,3,3
libro - papel - mesa,metal,2,4
libro - papel - mesa,silla,2,4
libro - papel - mesa,plato,1,5
libro - papel - mesa,tablas,1,5
libro - papel - mesa,árbol,1,5
lluvia - tristeza - sol,alegría,71,1
lluvia - tristeza - sol,felicidad,26,2
lluvia - tristeza - sol,calor,2,3
lluvia - tristeza - sol,tristeza,2,3
lluvia - tristeza - sol,calidez,1,4
lluvia - tristeza - sol,diversión,1,4
lluvia - tristeza - sol,euforia,1,4
lluvia - tristeza - sol,infelicidad,1,4
lluvia - tristeza - sol,júbilo,1,4
lluvia - tristeza - sol,migraña,1,4
lluvia - tristeza - sol,playa,1,4
lluvia - tristeza - sol,sonrisa,1,4
martillo - clavo - sierra,madera,60,1
martillo - clavo - sierra,hoja,6,2
martillo - clavo - sierra,serrucho,3,3
martillo - clavo - sierra,tronco,3,3
martillo - clavo - sierra,diente,2,4
martillo - clavo - sierra,dientes,2,4
martillo - clavo - sierra,filo,2,4
martillo - clavo - sierra,metal,2,4
martillo - clavo - sierra,tabla,2,4
martillo - clavo - sierra,cacho,1,5
martillo - clavo - sierra,cadena,1,5
martillo - clavo - sierra,corta,1,5
martillo - clavo - sierra,cortar,1,5
martillo - clavo - sierra,corte,1,5
martillo - clavo - sierra,cuchilla,1,5
martillo - clavo - sierra,gajo,1,5
martillo - clavo - sierra,leña,1,5
martillo - clavo - sierra,madero,1,5
martillo - clavo - sierra,motosierra,1,5
martillo - clavo - sierra,tablón,1,5
martillo - clavo - sierra,tornillo,1,5
memoria - pasado - imaginación,futuro,83,1
memoria - pasado - imaginación,creatividad,2,2
memoria - pasado - imaginación,presente,2,2
memoria - pasado - imaginación,sueños,2,2
memoria - pasado - imaginación,abstracción,1,3
memoria - pasado - imaginación,capacidad_generar_ideas,1,3
memoria - pasado - imaginación,fantasía,1,3
memoria - pasado - imaginación,ficción,1,3
memoria - pasado - imaginación,ideas,1,3
memoria - pasado - imaginación,inspiración,1,3
memoria - pasado - imaginación,irrealidad,1,3
memoria - pasado - imaginación,ligero,1,3
memoria - pasado - imaginación,literatura,1,3
memoria - pasado - imaginación,mundo,1,3
memoria - pasado - imaginación,mundo_contrafáctico,1,3
memoria - pasado - imaginación,niñez,1,3
memoria - pasado - imaginación,nuevo,1,3
memoria - pasado - imaginación,representación,1,3
memoria - pasado - imaginación,soñar,1,3
memoria - pasado - imaginación,tiempo,1,3
memoria - pasado - imaginación,volar,1,3
mermelada - fruta - queso,leche,80,1
mermelada - fruta - queso,vaca,3,2
mermelada - fruta - queso,bridge,1,3
mermelada - fruta - queso,fermento,1,3
mermelada - fruta - queso,fondue,1,3
mermelada - fruta - queso,lechee,1,3
mermelada - fruta - queso,lácteos,1,3
mermelada - fruta - queso,pan,1,3
mermelada - fruta - queso,requesón,1,3
mujer - niño - gallina,pollito,56,1
mujer - niño - gallina,pollo,27,2
mujer - niño - gallina,huevo,12,3
mujer - niño - gallina,animal,1,4
mujer - niño - gallina,gallo,1,4
mujer - niño - gallina,nacional,1,4
mujer - niño - gallina,nada,1,4
mujer - niño - gallina,polluelo,1,4
oveja - cordero - vaca,ternero,78,1
oveja - cordero - vaca,toro,8,2
oveja - cordero - vaca,ternera,3,3
oveja - cordero - vaca,novillo,2,4
oveja - cordero - vaca,vaquillona,2,4
oveja - cordero - vaca,becerro,1,5
oveja - cordero - vaca,cordero,1,5
oveja - cordero - vaca,cría,1,5
oveja - cordero - vaca,cuero,1,5
paraguas - lluvia - gorro,frío,47,1
paraguas - lluvia - gorro,sol,47,1
paraguas - lluvia - gorro,viento,6,2
paraguas - lluvia - gorro,cabeza,5,3
paraguas - lluvia - gorro,intemperie,1,4
paraguas - lluvia - gorro,nieve,1,4
paraguas - lluvia - gorro,pelo,1,4
paraguas - lluvia - gorro,protección,1,4
paraguas - lluvia - gorro,rocío,1,4
paraguas - lluvia - gorro,solo,1,4
paz - paloma - guerra,arma,17,1
paz - paloma - guerra,águila,14,2
paz - paloma - guerra,bomba,11,3
paz - paloma - guerra,armas,6,4
paz - paloma - guerra,tanque,5,5
paz - paloma - guerra,cañón,3,6
paz - paloma - guerra,caballo,2,7
paz - paloma - guerra,espada,2,7
paz - paloma - guerra,esvástica,2,7
paz - paloma - guerra,fusil,2,7
paz - paloma - guerra,león,2,7
paz - paloma - guerra,misil,2,7
paz - paloma - guerra,ares,1,8
paz - paloma - guerra,bala,1,8
paz - paloma - guerra,bombas,1,8
paz - paloma - guerra,buitre,1,8
paz - paloma - guerra,cráneo,1,8
paz - paloma - guerra,cuervo,1,8
paz - paloma - guerra,diablo,1,8
paz - paloma - guerra,ejército,1,8
paz - paloma - guerra,granada,1,8
paz - paloma - guerra,grito,1,8
paz - paloma - guerra,halcón,1,8
paz - paloma - guerra,jabalí,1,8
paz - paloma - guerra,mensaje,1,8
paz - paloma - guerra,muerte,1,8
paz - paloma - guerra,pistola,1,8
paz - paloma - guerra,tanques,1,8
paz - paloma - guerra,toro,1,8
peluquera - tijera - cocinero,cuchillo,34,1
peluquera - tijera - cocinero,cuchara,14,2
peluquera - tijera - cocinero,olla,14,2
peluquera - tijera - cocinero,cucharón,10,3
peluquera - tijera - cocinero,cuchilla,10,3
peluquera - tijera - cocinero,sartén,9,4
peluquera - tijera - cocinero,cocina,3,5
peluquera - tijera - cocinero,delantal,3,5
peluquera - tijera - cocinero,espátula,3,5
peluquera - tijera - cocinero,cubiertos,1,6
peluquera - tijera - cocinero,cuchillas,1,6
peluquera - tijera - cocinero,hormigonera,1,6
peluquera - tijera - cocinero,ollas,1,6
perro - gato - gato,perro,50,1
perro - gato - gato,ratón,46,2
perro - gato - gato,pájaro,2,3
perro - gato - gato,golondrina,1,4
perro - gato - gato,rata,1,4
perro - ladrar - ave,piar,37,1
perro - ladrar - ave,cantar,28,2
perro - ladrar - ave,trinar,15,3
perro - ladrar - ave,graznar,10,4
perro - ladrar - ave,silbar,5,5
perro - ladrar - ave,graznido,3,6
perro - ladrar - ave,volar,3,6
perro - ladrar - ave,canto,1,7
perro - ladrar - ave,cantos,1,7
perro - ladrar - ave,chillar,1,7
perro - ladrar - ave,gorjear,1,7
perro - ladrar - ave,parlar,1,7
perro - perrera - ave,jaula,62,1
perro - perrera - ave,pajarera,17,2
perro - perrera - ave,corral,7,3
perro - perrera - ave,avícola,6,4
perro - perrera - ave,aviario,5,5
perro - perrera - ave,gallinero,5,5
perro - perrera - ave,nido,2,6
perro - perrera - ave,granja,1,7
perro - perrera - ave,libertad,1,7
pez - submarino - ave,avión,86,1
pez - submarino - ave,aéreo,3,2
pez - submarino - ave,aire,2,3
pez - submarino - ave,cielo,1,4
pez - submarino - ave,globo,1,4
pez - submarino - ave,helicóptero,1,4
pez - submarino - ave,zeppelin,1,4
picnic - parque - asado,parrillero,32,1
picnic - parque - asado,parrilla,22,2
picnic - parque - asado,barbacoa,17,3
picnic - parque - asado,fondo,7,4
picnic - parque - asado,patio,6,5
picnic - parque - asado,casa,3,6
picnic - parque - asado,parrillada,3,6
picnic - parque - asado,campo,1,7
picnic - parque - asado,churrasquera,1,7
picnic - parque - asado,churrasquero,1,7
picnic - parque - asado,cumpleaños,1,7
picnic - parque - asado,domingo,1,7
picnic - parque - asado,festejo,1,7
picnic - parque - asado,fuego,1,7
picnic - parque - asado,parrillera,1,7
picnic - parque - asado,quincho,1,7
pie - zapato - mano,guante,88,1
pie - zapato - mano,guantes,5,2
pie - zapato - mano,anillo,3,3
pie - zapato - mano,no_va,1,4
pirámide - momia - ataúd,cadáver,36,1
pirámide - momia - ataúd,muerto,33,2
pirámide - momia - ataúd,vampiro,8,3
pirámide - momia - ataúd,cuerpo,3,4
pirámide - momia - ataúd,Drácula,2,5
pirámide - momia - ataúd,difunto,2,5
pirámide - momia - ataúd,esqueleto,2,5
pirámide - momia - ataúd,fiambre,2,5
pirámide - momia - ataúd,humano,2,5
pirámide - momia - ataúd,pirámide,2,5
pirámide - momia - ataúd,abuelo,1,6
pirámide - momia - ataúd,cementerio,1,6
pirámide - momia - ataúd,faraón,1,6
pirámide - momia - ataúd,hombre,1,6
pirámide - momia - ataúd,lata,1,6
pirámide - momia - ataúd,momia,1,6
pirámide - momia - ataúd,mortaja,1,6
pirámide - momia - ataúd,muerte,1,6
pirámide - momia - ataúd,panteón,1,6
pirámide - momia - ataúd,persona,1,6
pistola - bala - arco,flecha,103,1
pistola - bala - arco,pelota,5,2
plato - mesa - libro,biblioteca,44,1
plato - mesa - libro,escritorio,11,2
plato - mesa - libro,estantería,7,3
plato - mesa - libro,hoja,7,3
plato - mesa - libro,estante,6,4
plato - mesa - libro,mesa,4,5
plato - mesa - libro,hojas,2,6
plato - mesa - libro,mesa_de_luz,2,6
plato - mesa - libro,sillón,2,6
plato - mesa - libro,atril,1,7
plato - mesa - libro,falda,1,7
plato - mesa - libro,librería,1,7
plato - mesa - libro,mano,1,7
plato - mesa - libro,marcalibro,1,7
plato - mesa - libro,mesita_de_luz,1,7
plato - mesa - libro,nada,1,7
plato - mesa - libro,ojos,1,7
plato - mesa - libro,papel,1,7
plato - mesa - libro,repisa,1,7
plato - mesa - libro,silla,1,7
plato - mesa - libro,sofá,1,7
plato - mesa - libro,tapa,1,7
plato - mesa - libro,tapas,1,7
puerta - pestillo - caja,tapa,29,1
puerta - pestillo - caja,manija,9,2
puerta - pestillo - caja,cinta,8,3
puerta - pestillo - caja,solapa,5,4
puerta - pestillo - caja,tirador,3,5
puerta - pestillo - caja,aletas,2,6
puerta - pestillo - caja,asa,2,6
puerta - pestillo - caja,cartón,2,6
puerta - pestillo - caja,cerradura,2,6
puerta - pestillo - caja,llave,2,6
puerta - pestillo - caja,solapas,2,6
puerta - pestillo - caja,abertura,1,7
puerta - pestillo - caja,agarradera,1,7
puerta - pestillo - caja,agujero,1,7
puerta - pestillo - caja,candado,1,7
puerta - pestillo - caja,cerraje,1,7
puerta - pestillo - caja,cerrojo,1,7
puerta - pestillo - caja,contenido,1,7
puerta - pestillo - caja,cuchillo,1,7
puerta - pestillo - caja,perilla,1,7
puerta - pestillo - caja,persiana,1,7
puerta - pestillo - caja,traba,1,7
puerta - pestillo - caja,trincheta,1,7
red - pesca - rifle,caza,77,1
red - pesca - rifle,cacería,9,2
red - pesca - rifle,arma,2,3
red - pesca - rifle,bala,2,3
red - pesca - rifle,disparo,2,3
red - pesca - rifle,tiro,2,3
red - pesca - rifle,balas,1,4
red - pesca - rifle,casa,1,4
red - pesca - rifle,cazar,1,4
red - pesca - rifle,ciervo,1,4
red - pesca - rifle,jabalí,1,4
red - pesca - rifle,pieza,1,4
red - pesca - rifle,presa,1,4
rock - guitarra - tango,bandoneón,84,1
rock - guitarra - tango,acordeón,12,2
rock - guitarra - tango,piano,8,3
rock - guitarra - tango,guitarra,1,4
rock - guitarra - tango,vestido,1,4
rock - guitarra - tango,violín,1,4
rock - guitarra - tango,voz,1,4
rock - guitarra - tango,zapatos,1,4
rojo - ira - azul,tristeza,28,1
rojo - ira - azul,calma,17,2
rojo - ira - azul,paz,13,3
rojo - ira - azul,tranquilidad,11,4
rojo - ira - azul,esperanza,3,5
rojo - ira - azul,serenidad,3,5
rojo - ira - azul,ahogo,2,6
rojo - ira - azul,amor,2,6
rojo - ira - azul,frío,2,6
rojo - ira - azul,mar,2,6
rojo - ira - azul,sosiego,2,6
rojo - ira - azul,apatía,1,7
rojo - ira - azul,asfixia,1,7
rojo - ira - azul,avatar,1,7
rojo - ira - azul,calmo,1,7
rojo - ira - azul,indiferencia,1,7
rojo - ira - azul,infinito,1,7
rojo - ira - azul,ira,1,7
rojo - ira - azul,libertad,1,7
rojo - ira - azul,mansedumbre,1,7
rojo - ira - azul,relax,1,7
rojo - ira - azul,triste,1,7
ropa - pantalones - mueble,mesa,29,1
ropa - pantalones - mueble,ropero,15,2
ropa - pantalones - mueble,silla,15,2
ropa - pantalones - mueble,sillón,10,3
ropa - pantalones - mueble,madera,6,4
ropa - pantalones - mueble,cama,3,5
ropa - pantalones - mueble,sillas,2,6
ropa - pantalones - mueble,aparador,1,7
ropa - pantalones - mueble,cajones,1,7
ropa - pantalones - mueble,casa,1,7
ropa - pantalones - mueble,cosas,1,7
ropa - pantalones - mueble,escritorio,1,7
ropa - pantalones - mueble,funda,1,7
ropa - pantalones - mueble,mantel,1,7
ropa - pantalones - mueble,mesas,1,7
ropa - pantalones - mueble,pata,1,7
ropa - pantalones - mueble,patas,1,7
ropa - pantalones - mueble,pilas,1,7
ropa - pantalones - mueble,pintura,1,7
ropa - pantalones - mueble,puerta,1,7
ropa - pantalones - mueble,puertas,1,7
ropa - pantalones - mueble,roperos,1,7
ropa - pantalones - mueble,taburete,1,7
selva - león - desierto,camello,63,1
selva - león - desierto,escorpión,8,2
selva - león - desierto,arena,3,3
selva - león - desierto,ave,2,4
selva - león - desierto,elefante,2,4
selva - león - desierto,lagarto,2,4
selva - león - desierto,serpiente,2,4
selva - león - desierto,cactus,1,5
selva - león - desierto,chacal,1,5
selva - león - desierto,delfín,1,5
selva - león - desierto,foca,1,5
selva - león - desierto,gorila,1,5
selva - león - desierto,iguana,1,5
selva - león - desierto,jirafa,1,5
selva - león - desierto,lagartija,1,5
selva - león - desierto,mono,1,5
selva - león - desierto,oasis,1,5
selva - león - desierto,oso_polar,1,5
selva - león - desierto,pez,1,5
selva - león - desierto,reptil,1,5
selva - león - desierto,víbora,1,5
sushi - Japón - pizza,Italia,99,1
sushi - Japón - pizza,EEUU,1,2
sushi - Japón - pizza,pepperoni,1,2
sábana - cama - mantel,mesa,99,1
sábana - cama - mantel,pastito,1,2
tela - algodón - metal,hierro,31,1
tela - algodón - metal,acero,13,2
tela - algodón - metal,aluminio,11,3
tela - algodón - metal,cobre,5,4
tela - algodón - metal,cuchillo,3,5
tela - algodón - metal,oro,3,5
tela - algodón - metal,chapa,2,6
tela - algodón - metal,fierro,2,6
tela - algodón - metal,mineral,2,6
tela - algodón - metal,roca,2,6
tela - algodón - metal,alambre,1,7
tela - algodón - metal,aleación,1,7
tela - algodón - metal,anillo,1,7
tela - algodón - metal,bronce,1,7
tela - algodón - metal,cuchilla,1,7
tela - algodón - metal,disco,1,7
tela - algodón - metal,elemento,1,7
tela - algodón - metal,escalera,1,7
tela - algodón - metal,malla,1,7
tela - algodón - metal,metal,1,7
tela - algodón - metal,minerales,1,7
tela - algodón - metal,piedra,1,7
tela - algodón - metal,química,1,7
tela - algodón - metal,tornillo,1,7
tela - algodón - metal,una,1,7
tela - algodón - metal,viruta,1,7
tela - algodón - metal,átomos,1,7
tereré - Paraguay - vino,Francia,28,1
tereré - Paraguay - vino,Chile,25,2
tereré - Paraguay - vino,Argentina,17,3
tereré - Paraguay - vino,Uruguay,13,4
tereré - Paraguay - vino,Italia,9,5
tereré - Paraguay - vino,España,4,6
tereré - Paraguay - vino,Galicia,1,7
tereré - Paraguay - vino,Mendoza,1,7
tereré - Paraguay - vino,queso,1,7
tiburón - pez - pez,tiburón,19,1
tiburón - pez - pez,plancton,13,2
tiburón - pez - pez,animal,8,3
tiburón - pez - pez,alga,7,4
tiburón - pez - pez,algas,5,5
tiburón - pez - pez,mojarrita,5,5
tiburón - pez - pez,lombriz,4,6
tiburón - pez - pez,mojarra,4,6
tiburón - pez - pez,vertebrado,4,6
tiburón - pez - pez,krill,3,7
tiburón - pez - pez,ballena,2,8
tiburón - pez - pez,corvina,2,8
tiburón - pez - pez,pez,2,8
tiburón - pez - pez,zooplancton,2,8
tiburón - pez - pez,acuático,1,9
tiburón - pez - pez,anfibio,1,9
tiburón - pez - pez,anzuelo,1,9
tiburón - pez - pez,caballito_de_mar,1,9
tiburón - pez - pez,cangrejo,1,9
tiburón - pez - pez,cola,1,9
tiburón - pez - pez,dorado,1,9
tiburón - pez - pez,fauna_marina,1,9
tiburón - pez - pez,larvas,1,9
tiburón - pez - pez,mar,1,9
tiburón - pez - pez,minicrustáceos,1,9
tiburón - pez - pez,pececito,1,9
tiburón - pez - pez,sardina,1,9
tiburón - pez - pez,trucha,1,9
tiburón - pez - pez,vertebrata,1,9
tigre - rayas - mulita,caparazón,126,1
tigre - rayas - mulita,coraza,7,2
tigre - rayas - mulita,anillos,6,3
tigre - rayas - mulita,armadura,6,3
tigre - rayas - mulita,escamas,5,4
tigre - rayas - mulita,pinchos,4,5
tigre - rayas - mulita,casco,3,6
tigre - rayas - mulita,puntos,3,6
tigre - rayas - mulita,armazón,2,7
tigre - rayas - mulita,cuadritos,2,7
tigre - rayas - mulita,placas,2,7
tigre - rayas - mulita,armadillo,1,8
tigre - rayas - mulita,carcaza,1,8
tigre - rayas - mulita,caza,1,8
tigre - rayas - mulita,cola,1,8
tigre - rayas - mulita,cola_larga,1,8
tigre - rayas - mulita,cositos,1,8
tigre - rayas - mulita,cruces,1,8
tigre - rayas - mulita,culo_agrandado,1,8
tigre - rayas - mulita,dureza,1,8
tigre - rayas - mulita,fealdad,1,8
tigre - rayas - mulita,garras,1,8
tigre - rayas - mulita,lisa,1,8
tigre - rayas - mulita,liso,1,8
tigre - rayas - mulita,manchas,1,8
tigre - rayas - mulita,orejas,1,8
tigre - rayas - mulita,plaquetas,1,8
tigre - rayas - mulita,puntitos,1,8
tigre - rayas - mulita,púa,1,8
tigre - rayas - mulita,púas,1,8
tigre - rayas - mulita,rayas,1,8
tigre - rayas - mulita,rayitas,1,8
tornillo - destornillador - tuerca,llave,65,1
tornillo - destornillador - tuerca,pinza,15,2
tornillo - destornillador - tuerca,tornillo,5,3
tornillo - destornillador - tuerca,rosca,3,4
tornillo - destornillador - tuerca,arandela,2,5
tornillo - destornillador - tuerca,destuercador,2,5
tornillo - destornillador - tuerca,allen,1,6
tornillo - destornillador - tuerca,francesa,1,6
tornillo - destornillador - tuerca,mano,1,6
tornillo - destornillador - tuerca,sacatuercas,1,6
tornillo - destornillador - tuerca,taladro,1,6
tornillo - destornillador - tuerca,tenaza,1,6
tornillo - destornillador - tuerca,varilla,1,6
tornillo - ferretería - carne,carnicería,96,1
tornillo - ferretería - carne,pulpería,1,2
tornillo - ferretería - carne,rojo,1,2
tren - vías - auto,carretera,36,1
tren - vías - auto,calle,30,2
tren - vías - auto,ruta,16,3
tren - vías - auto,calles,8,4
tren - vías - auto,autopista,3,5
tren - vías - auto,calzada,2,6
tren - vías - auto,rutas,2,6
tren - vías - auto,avenida,1,7
tren - vías - auto,carreteras,1,7
tren - vías - auto,carriles,1,7
vodka - Rusia - cerveza,Alemania,92,1
vodka - Rusia - cerveza,Brasil,4,2
vodka - Rusia - cerveza,Chequia,4,2
vodka - Rusia - cerveza,Bélgica,3,3
vodka - Rusia - cerveza,Inglaterra,2,4
vodka - Rusia - cerveza,México,1,5
vodka - Rusia - cerveza,Uruguay,1,5
volante - auto - manubrio,bicicleta,75,1
volante - auto - manubrio,bici,11,2
volante - auto - manubrio,moto,4,3
volante - auto - manubrio,auto,1,4
volante - auto - manubrio,barco,1,4
volante - auto - manubrio,carro,1,4
volante - auto - manubrio,monopatín,1,4
volante - auto - manubrio,motocicleta,1,4
volante - auto - manubrio,volante,1,4
árbol - hojas - flor,pétalos,67,1
árbol - hojas - flor,pétalo,19,2
árbol - hojas - flor,tallo,7,3
árbol - hojas - flor,pimpollo,2,4
árbol - hojas - flor,abeja,1,5
árbol - hojas - flor,jardín,1,5
árbol - hojas - flor,margarita,1,5
árbol - hojas - flor,miel,1,5
árbol - hojas - flor,pistilo,1,5
árbol - hojas - flor,planta,1,5
árbol - hojas - flor,plantas,1,5
árbol - hojas - flor,rama,1,5
árbol - hojas - flor,rosa,1,5
